,STATEFP,COUNTYFP,GEOID,node_density_km,street_density_km,circuity_avg,street_length_total,street_segment_count,streets_per_node_avg,orientation_entropy
139,36,61,36061,579.8095079736213,36716.504406859116,1.027338755289743,3219828.8530930635,86920,3.4198953703339496,2.8099085795097456
140,36,21,36021,13.48786650323636,2828.7968494026863,1.118254777349671,4749103.6364057,27202,2.4073485249955837,3.5712579388098624
141,36,13,36013,8.667404383991421,1591.458516075327,1.0681847142345295,6183575.390212443,45146,2.6834931852599695,3.3541252537925756
142,36,33,36033,1.976581288959829,1025.6681835249824,1.1039893867832724,4509329.600869879,10583,2.448216340621404,3.5233995694963953
143,36,67,36067,31.58816865461611,4482.754963335074,1.1061175320632686,9353450.744927505,89023,2.7012137763617052,3.380117623014666
144,36,17,36017,4.651890633127059,1607.02537681123,1.072006307239441,3740256.4090461396,12990,2.4101782580585573,3.504809120732252
145,36,35,36035,9.914857114711094,1832.0625630591135,1.0909420961766878,2528522.985540918,18645,2.7328997369190295,3.451011264443677
146,36,87,36087,69.1848336380455,8098.158580335872,1.1264226549144385,4184809.7384880446,45410,2.5389348847616917,3.458003386256139
147,36,51,36051,8.68850375381655,2081.254893470962,1.0812186574033982,3450830.9882668126,17964,2.502707205331112,3.3913637765642304
148,36,25,36025,4.440239241850029,1530.3996897049838,1.12145743603819,5816239.476549329,19567,2.3274666666666666,3.5750216615475034
149,36,71,36071,40.63325460444298,5065.842344382761,1.1271343923056716,10999091.245375061,108547,2.4607476423648893,3.5605808069794627
150,36,93,36093,48.21399117891282,5469.684846579049,1.0969135612873528,2967066.902770653,35276,2.7007723483979507,3.57852917657152
151,36,5,36005,323.17343309105104,25552.50330635742,1.0472848973328366,3796819.5499089155,77641,3.235027072053311,3.5059251118494177
